region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
216,28.52,109.9,2.14,0.33,1,1,0,28.52,109.9,28.52,600,24.49,3.18,818.2,28.6,3.49,0.92,-0.39
217,41.25,109.9,1.57,0.2,0,1,0,41.25,109.9,41.25,4613.04,67.92,5.22,1503.08,38.77,4.1,0.94,-0.35
218,-48.63,112.41,1.9,0.28,1,0,0,-48.63,112.41,48.63,200,14.14,2.09,634.72,25.19,3.24,-0.69,0.73
219,3.91,112.41,3.15,0.5,1,0,0,3.91,112.41,3.91,0,0,0,160.86,12.68,1.89,0.73,0.68
220,28.52,112.41,2.43,0.39,1,0,0,28.52,112.41,28.52,600,24.49,3.18,601.21,24.52,3.18,0.84,-0.55
221,31.53,112.41,2.83,0.45,0,1,0,31.53,112.41,31.53,886.23,29.77,3.57,737.35,27.15,3.39,0.8,-0.59
222,37.87,112.41,1.38,0.14,0,1,0,37.87,112.41,37.87,2385.31,48.84,4.56,1194.76,34.57,3.87,0.65,-0.76
223,41.25,112.41,1.55,0.19,0,1,0,41.25,112.41,41.25,4706.38,68.6,5.24,1295.51,35.99,3.95,1,-0.07
224,-52.75,114.92,1.71,0.23,1,0,0,-52.75,114.92,52.75,200,14.14,2.09,523.54,22.88,3.04,0.14,-0.99
225,-41.25,114.92,1.04,0.02,1,0,0,-41.25,114.92,41.25,200,14.14,2.09,172.91,13.15,1.95,-0.84,0.55
226,-1.3,114.92,1.36,0.13,1,0,0,-1.3,114.92,1.3,656.03,25.61,3.27,267.15,16.34,2.38,0.75,-0.66
227,41.25,114.92,1.28,0.11,0,1,0,41.25,114.92,41.25,513.71,22.67,3.03,1086.61,32.96,3.77,0.99,-0.12
228,44.82,114.92,0.94,-0.02,0,1,0,44.82,114.92,44.82,1008.94,31.76,3.7,1198.76,34.62,3.87,0.9,-0.43
229,52.75,114.92,0.96,-0.02,1,0,0,52.75,114.92,52.75,352.49,18.77,2.65,1586.26,39.83,4.15,0.98,0.21
230,-48.63,117.43,1.01,0,1,0,0,-48.63,117.43,48.63,200,14.14,2.09,873.49,29.55,3.55,-0.78,0.63
231,1.3,117.43,1.86,0.27,1,0,0,1.3,117.43,1.3,0,0,0,0,0,0,0.93,0.36
232,9.16,117.43,2.2,0.34,1,0,0,9.16,117.43,9.16,0,0,0,0,0,0,0.48,0.87
233,31.53,117.43,2.89,0.46,0,1,0,31.53,117.43,31.53,577.68,24.03,3.14,369.67,19.23,2.7,0.79,-0.62
234,41.25,117.43,1.26,0.1,0,1,0,41.25,117.43,41.25,200,14.14,2.09,879.01,29.65,3.56,0.98,-0.18
235,44.82,117.43,1.01,0,1,1,0,44.82,117.43,44.82,278.84,16.7,2.42,1025.48,32.02,3.71,0.84,-0.54
236,57.32,117.43,0.84,-0.08,1,0,0,57.32,117.43,57.32,437.94,20.93,2.87,1337.63,36.57,3.98,0.99,0.17
237,-48.63,119.94,0.89,-0.05,1,0,0,-48.63,119.94,48.63,200,14.14,2.09,977.46,31.26,3.67,0.03,-1
238,-1.3,119.94,1.52,0.18,1,0,0,-1.3,119.94,1.3,0,0,0,82.12,9.06,1.27,0.73,-0.68
239,1.3,119.94,2.01,0.3,1,0,0,1.3,119.94,1.3,0,0,0,0,0,0,0.14,0.99
240,3.91,119.94,3.41,0.53,1,0,0,3.91,119.94,3.91,0,0,0,0,0,0,0.05,1
241,9.16,119.94,4.05,0.61,1,0,0,9.16,119.94,9.16,0,0,0,0,0,0,0.72,0.7
242,41.25,119.94,1.15,0.06,0,1,0,41.25,119.94,41.25,200,14.14,2.09,674.18,25.96,3.3,0.97,-0.26
243,57.32,119.94,1.09,0.04,1,0,0,57.32,119.94,57.32,335.55,18.32,2.6,1188.83,34.48,3.86,0.99,0.15
244,1.3,122.45,2.02,0.3,1,0,0,1.3,122.45,1.3,0,0,0,0,0,0,0.87,0.49
245,3.91,122.45,3.44,0.54,1,0,0,3.91,122.45,3.91,0,0,0,0,0,0,-0.94,0.35
246,31.53,122.45,2.88,0.46,1,0,0,31.53,122.45,31.53,0,0,0,121.33,11.01,1.62,0,-1
247,48.63,122.45,1.35,0.13,1,0,0,48.63,122.45,48.63,200,14.14,2.09,936.29,30.6,3.62,0.71,-0.7
248,48.63,124.96,1.6,0.2,1,0,0,48.63,124.96,48.63,200,14.14,2.09,811.18,28.48,3.48,0.85,-0.53
249,57.32,124.96,0.97,-0.01,1,0,0,57.32,124.96,57.32,298.52,17.28,2.49,890.06,29.83,3.57,0.99,0.11
250,52.75,127.47,1.34,0.13,1,0,0,52.75,127.47,52.75,647.57,25.45,3.26,755.81,27.49,3.41,0.99,0.17
