region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
159,22.74,-90.9,0.74,-0.13,0,0,0,22.74,-90.9,22.74,3382.75,58.16,4.91,308.63,17.57,2.52,-0.22,-0.98
160,25.59,-90.9,0.78,-0.11,0,0,0,25.59,-90.9,25.59,1804.63,42.48,4.28,244.96,15.65,2.29,0.98,0.2
161,28.52,-90.9,0.74,-0.13,0,0,0,28.52,-90.9,28.52,805.7,28.38,3.47,149.76,12.24,1.82,0.93,0.37
162,31.53,-90.9,1.07,0.03,0,0,0,31.53,-90.9,31.53,120.69,10.99,1.61,70.8,8.41,1.15,0.6,-0.8
163,34.64,-90.9,1.41,0.15,0,0,0,34.64,-90.9,34.64,200,14.14,2.09,291.37,17.07,2.46,0.79,-0.61
164,37.87,-90.9,1.46,0.16,0,0,0,37.87,-90.9,37.87,200,14.14,2.09,532.29,23.07,3.06,0.6,-0.8
165,41.25,-90.9,1.1,0.04,0,0,0,41.25,-90.9,41.25,200,14.14,2.09,845.88,29.08,3.52,0.59,-0.81
166,44.82,-90.9,0.93,-0.03,0,0,0,44.82,-90.9,44.82,200,14.14,2.09,1189.04,34.48,3.86,0.42,-0.91
167,48.63,-90.9,0.87,-0.06,0,0,0,48.63,-90.9,48.63,200,14.14,2.09,1550.01,39.37,4.13,-0.97,0.25
168,52.75,-90.9,0.83,-0.08,0,0,0,52.75,-90.9,52.75,200,14.14,2.09,1489.57,38.59,4.09,-0.98,0.19
169,57.32,-90.9,0.74,-0.13,0,0,0,57.32,-90.9,57.32,200,14.14,2.09,1480.2,38.47,4.08,-0.99,-0.15
170,62.55,-90.9,0.68,-0.17,0,0,0,62.55,-90.9,62.55,200,14.14,2.09,1521.63,39.01,4.11,0.43,0.9
171,69.02,-90.9,0.53,-0.27,0,0,0,69.02,-90.9,69.02,200,14.14,2.09,924.82,30.41,3.61,0.7,0.71
172,19.94,-88.39,0.68,-0.17,0,0,0,19.94,-88.39,19.94,2846.34,53.35,4.73,159.56,12.63,1.88,-0.77,-0.64
173,22.74,-88.39,0.82,-0.08,0,0,0,22.74,-88.39,22.74,1331.91,36.5,3.98,93.67,9.68,1.39,0.95,0.31
174,34.64,-88.39,1.37,0.14,0,0,0,34.64,-88.39,34.64,200,14.14,2.09,113.78,10.67,1.56,0.78,-0.62
175,37.87,-88.39,1.53,0.18,0,0,0,37.87,-88.39,37.87,200,14.14,2.09,417,20.42,2.82,0.65,-0.76
176,41.25,-88.39,1.16,0.06,0,0,0,41.25,-88.39,41.25,200,14.14,2.09,743.97,27.28,3.39,0.37,-0.93
177,44.82,-88.39,1.01,0,0,0,0,44.82,-88.39,44.82,200,14.14,2.09,1122.73,33.51,3.81,0.24,-0.97
178,48.63,-88.39,0.94,-0.03,0,0,0,48.63,-88.39,48.63,200,14.14,2.09,1520.02,38.99,4.11,0.42,-0.91
